7.99	1.146e-11	4.090e-12	3.802e-12	2.149e-12	1.418e-12
8.10	1.086e-11	3.846e-12	4.105e-12	1.655e-12	1.258e-12
8.21	1.180e-11	3.267e-12	3.990e-12	2.896e-12	1.649e-12
8.33	1.128e-11	3.411e-12	3.925e-12	2.119e-12	1.823e-12
8.44	1.024e-11	3.278e-12	3.455e-12	2.022e-12	1.480e-12
8.55	9.192e-12	2.789e-12	3.074e-12	1.932e-12	1.398e-12
8.66	9.940e-12	2.621e-12	3.356e-12	2.308e-12	1.656e-12
8.78	1.069e-11	2.914e-12	3.389e-12	1.929e-12	2.460e-12
8.89	1.091e-11	2.817e-12	3.437e-12	2.614e-12	2.046e-12
9.00	1.104e-11	3.212e-12	4.164e-12	1.859e-12	1.807e-12
9.11	9.761e-12	2.553e-12	3.721e-12	1.814e-12	1.672e-12
9.23	9.200e-12	2.479e-12	3.008e-12	1.971e-12	1.742e-12
9.34	9.236e-12	2.115e-12	2.693e-12	2.626e-12	1.802e-12
9.45	8.354e-12	1.929e-12	2.916e-12	1.794e-12	1.715e-12
9.56	8.340e-12	1.927e-12	2.382e-12	2.045e-12	1.986e-12
9.68	1.037e-11	2.218e-12	3.321e-12	2.220e-12	2.608e-12
9.79	9.397e-12	2.457e-12	2.294e-12	2.264e-12	2.381e-12
9.90	7.675e-12	2.111e-12	2.071e-12	2.008e-12	1.486e-12
10.02	7.428e-12	1.683e-12	2.293e-12	1.705e-12	1.748e-12
10.13	7.255e-12	1.726e-12	2.009e-12	1.711e-12	1.809e-12
10.24	7.170e-12	1.630e-12	1.990e-12	1.728e-12	1.823e-12
10.35	8.278e-12	1.642e-12	2.198e-12	1.999e-12	2.439e-12
10.47	9.118e-12	2.124e-12	3.144e-12	1.918e-12	1.932e-12
10.58	7.624e-12	1.445e-12	2.265e-12	1.796e-12	2.119e-12
10.69	7.039e-12	1.523e-12	2.349e-12	1.513e-12	1.655e-12
10.80	7.800e-12	1.444e-12	2.613e-12	1.845e-12	1.898e-12
10.92	7.848e-12	1.491e-12	2.000e-12	1.939e-12	2.418e-12
11.03	7.134e-12	1.278e-12	1.757e-12	1.969e-12	2.130e-12
11.14	7.174e-12	1.584e-12	1.943e-12	1.625e-12	2.022e-12
11.25	6.924e-12	1.225e-12	1.971e-12	1.650e-12	2.077e-12
11.37	6.732e-12	1.391e-12	1.556e-12	1.570e-12	2.215e-12
11.48	6.725e-12	1.388e-12	1.692e-12	1.515e-12	2.130e-12
11.59	6.008e-12	1.050e-12	1.544e-12	1.655e-12	1.759e-12
11.70	6.873e-12	1.265e-12	1.886e-12	1.285e-12	2.437e-12
11.82	6.715e-12	1.019e-12	1.752e-12	1.718e-12	2.225e-12
11.93	6.158e-12	1.124e-12	1.537e-12	1.373e-12	2.124e-12
12.04	6.601e-12	1.063e-12	1.789e-12	1.846e-12	1.902e-12
12.15	5.891e-12	8.973e-13	1.768e-12	1.338e-12	1.888e-12
12.27	5.351e-12	8.836e-13	1.290e-12	1.269e-12	1.909e-12
12.38	6.668e-12	1.141e-12	1.512e-12	1.658e-12	2.358e-12
12.49	6.323e-12	8.892e-13	1.438e-12	1.860e-12	2.135e-12
12.60	5.089e-12	7.385e-13	1.392e-12	1.089e-12	1.870e-12
12.72	5.864e-12	1.029e-12	1.369e-12	1.439e-12	2.026e-12
12.83	5.464e-12	8.466e-13	1.377e-12	1.450e-12	1.790e-12
12.94	6.020e-12	7.221e-13	1.317e-12	1.287e-12	2.694e-12
13.05	5.492e-12	6.568e-13	1.113e-12	1.510e-12	2.212e-12
13.17	4.702e-12	7.441e-13	1.194e-12	1.053e-12	1.710e-12
13.28	5.865e-12	8.537e-13	1.198e-12	1.685e-12	2.128e-12
13.39	5.467e-12	6.107e-13	1.325e-12	1.370e-12	2.162e-12
13.50	4.652e-12	6.237e-13	1.075e-12	1.143e-12	1.811e-12
13.62	4.749e-12	6.325e-13	1.142e-12	1.044e-12	1.930e-12
13.73	4.308e-12	5.993e-13	9.683e-13	9.750e-13	1.765e-12
13.84	5.149e-12	5.760e-13	1.115e-12	1.513e-12	1.945e-12
13.95	4.796e-12	6.468e-13	1.202e-12	1.065e-12	1.882e-12
14.07	4.415e-12	4.899e-13	9.958e-13	9.483e-13	1.981e-12
14.18	5.131e-12	6.472e-13	1.813e-12	7.304e-13	1.940e-12
14.29	4.989e-12	4.496e-13	8.714e-13	1.434e-12	2.234e-12
14.40	4.438e-12	4.372e-13	8.913e-13	1.021e-12	2.088e-12
14.52	3.865e-12	4.298e-13	7.398e-13	8.597e-13	1.836e-12
14.63	4.631e-12	5.569e-13	9.802e-13	1.007e-12	2.087e-12
14.74	5.291e-12	3.833e-13	8.755e-13	1.961e-12	2.070e-12
